strategy,task,start_ms,duration_ms,end_ms
NormalOnly,Image task,0.0,7.795999999999914,7.795999999999914
NormalOnly,Control task,7.795999999999914,0.4,8.195999999999914
NormalOnly,Comm task,8.195999999999914,0.3,8.495999999999915
WCET,Image task,0.0,7.795999999999914,7.795999999999914
WCET,Control task,7.795999999999914,0.4,8.195999999999914
WCET,Comm task,8.195999999999914,0.3,8.495999999999915
WCET,Unused reserved time,8.495999999999915,5.531860000000091,14.027860000000006
CBS-inspired,Image budget,0.0,0.5,0.5
CBS-inspired,Control task,0.5,0.4,0.9
CBS-inspired,Comm task,0.9,0.3,1.2
CBS-inspired,Image budget,2.0,0.5,2.5
CBS-inspired,Control task,2.5,0.4,2.9
CBS-inspired,Comm task,2.9,0.3,3.1999999999999997
CBS-inspired,Image budget,4.0,0.5,4.5
CBS-inspired,Control task,4.5,0.4,4.9
CBS-inspired,Comm task,4.9,0.3,5.2
CBS-inspired,Image budget,6.0,0.5,6.5
CBS-inspired,Control task,6.5,0.4,6.9
CBS-inspired,Comm task,6.9,0.3,7.2
CBS-inspired,Image budget,8.0,0.5,8.5
CBS-inspired,Control task,8.5,0.4,8.9
CBS-inspired,Comm task,8.9,0.3,9.200000000000001
CBS-inspired,Image budget,10.0,0.5,10.5
CBS-inspired,Control task,10.5,0.4,10.9
CBS-inspired,Comm task,10.9,0.3,11.200000000000001
CBS-inspired,Image budget,12.0,0.5,12.5
CBS-inspired,Control task,12.5,0.4,12.9
CBS-inspired,Comm task,12.9,0.3,13.200000000000001
CBS-inspired,Image budget,14.0,0.5,14.5
CBS-inspired,Control task,14.5,0.4,14.9
CBS-inspired,Comm task,14.9,0.3,15.200000000000001
CBS-inspired,Image budget,16.0,0.5,16.5
CBS-inspired,Control task,16.5,0.4,16.9
CBS-inspired,Comm task,16.9,0.3,17.2
CBS-inspired,Image budget,18.0,0.5,18.5
CBS-inspired,Control task,18.5,0.4,18.9
CBS-inspired,Comm task,18.9,0.3,19.2
CBS-inspired,Image budget,20.0,0.5,20.5
CBS-inspired,Control task,20.5,0.4,20.9
CBS-inspired,Comm task,20.9,0.3,21.2
CBS-inspired,Image budget,22.0,0.5,22.5
CBS-inspired,Control task,22.5,0.4,22.9
CBS-inspired,Comm task,22.9,0.3,23.2
CBS-inspired,Image budget,24.0,0.5,24.5
CBS-inspired,Control task,24.5,0.4,24.9
CBS-inspired,Comm task,24.9,0.3,25.2
CBS-inspired,Image budget,26.0,0.5,26.5
CBS-inspired,Control task,26.5,0.4,26.9
CBS-inspired,Comm task,26.9,0.3,27.2
CBS-inspired,Image budget,28.0,0.5,28.5
CBS-inspired,Control task,28.5,0.4,28.9
CBS-inspired,Comm task,28.9,0.3,29.2
CBS-inspired,Image budget,30.0,0.2959999999999141,30.295999999999914
CBS-inspired,CBS unused budget,30.295999999999914,0.2040000000000859,30.5
CBS-inspired,Control task,30.5,0.4,30.9
CBS-inspired,Comm task,30.9,0.3,31.2
CBShd-inspired,Image budget,0.0,0.5,0.5
CBShd-inspired,Control task,0.5,0.4,0.9
CBShd-inspired,Comm task,0.9,0.3,1.2
CBShd-inspired,Image budget,2.0,0.5,2.5
CBShd-inspired,Control task,2.5,0.4,2.9
CBShd-inspired,Comm task,2.9,0.3,3.1999999999999997
CBShd-inspired,Image budget,4.0,0.5,4.5
CBShd-inspired,Control task,4.5,0.4,4.9
CBShd-inspired,Comm task,4.9,0.3,5.2
CBShd-inspired,Image budget,6.0,0.5,6.5
CBShd-inspired,Control task,6.5,0.4,6.9
CBShd-inspired,Comm task,6.9,0.3,7.2
CBShd-inspired,Image budget,8.0,0.5,8.5
CBShd-inspired,Control task,8.5,0.4,8.9
CBShd-inspired,Comm task,8.9,0.3,9.200000000000001
CBShd-inspired,Image budget,10.0,0.5,10.5
CBShd-inspired,Control task,10.5,0.4,10.9
CBShd-inspired,Comm task,10.9,0.3,11.200000000000001
CBShd-inspired,Image budget,12.0,0.5,12.5
CBShd-inspired,Control task,12.5,0.4,12.9
CBShd-inspired,Comm task,12.9,0.3,13.200000000000001
CBShd-inspired,Image budget,14.0,0.5,14.5
CBShd-inspired,Control task,14.5,0.4,14.9
CBShd-inspired,Comm task,14.9,0.3,15.200000000000001
CBShd-inspired,Image budget,16.0,0.5,16.5
CBShd-inspired,Control task,16.5,0.4,16.9
CBShd-inspired,Comm task,16.9,0.3,17.2
CBShd-inspired,Image budget,18.0,0.5,18.5
CBShd-inspired,Control task,18.5,0.4,18.9
CBShd-inspired,Comm task,18.9,0.3,19.2
CBShd-inspired,Image budget,20.0,0.5,20.5
CBShd-inspired,Control task,20.5,0.4,20.9
CBShd-inspired,Comm task,20.9,0.3,21.2
CBShd-inspired,Image budget,22.0,0.5,22.5
CBShd-inspired,Control task,22.5,0.4,22.9
CBShd-inspired,Comm task,22.9,0.3,23.2
CBShd-inspired,Image budget,24.0,0.5,24.5
CBShd-inspired,Control task,24.5,0.4,24.9
CBShd-inspired,Comm task,24.9,0.3,25.2
CBShd-inspired,Image budget,26.0,0.5,26.5
CBShd-inspired,Control task,26.5,0.4,26.9
CBShd-inspired,Comm task,26.9,0.3,27.2
CBShd-inspired,Image budget,28.0,0.5,28.5
CBShd-inspired,Control task,28.5,0.4,28.9
CBShd-inspired,Comm task,28.9,0.3,29.2
CBShd-inspired,Image budget,30.0,0.2959999999999141,30.295999999999914
CBShd-inspired,Control task,30.295999999999914,0.4,30.695999999999913
CBShd-inspired,Comm task,30.695999999999913,0.3,30.995999999999913
